serial,description,meter,historical_matches
#11-8860,CAT D4 DOZER,6851,1
#11-9860,CAT D4 DOZER,7139,1
(5)NEW NO #,5() NEW STEAL PLATES VARIS SIZES,N/A,1
(8) CRANE MATS,(8) CRANE MATS,N/A,1
(rental)Y00421,"CAT 305 W/ 24""BKT",1000.4,1
.10-5551,2003 JOHN DEERE 9520,648.2,4
.10-5552,2003 JOHN DEERE 9520,9997,2
.10-6188,1994 CATERPILLAR 824C RUB TIRE,37003.9,4
.10-6222,2005 JOHN DEERE 5325,1504.35,3
.10-6227,2005 JOHN DEERE 6320,244.9,2
.10-6229,2005 JOHN DEERE 6320,525.6,3
.10-6467,2005 JOHN DEERE 9520,6711,7
.10-6644,2006 JOHN DEERE 9520,8596,6
.10-6645,2006 JOHN DEERE 9520,693.0,8
.10-6648,2006 JOHN DEERE 9520,7093.9,1
.10-6649,1971 CATERPILLER 814,11720,1
.11-3978,1998 CATERPILLAR 963B TRACK LDR,14285.0,5
0.101586082256,2022 BOMAG BW 211D-5 SINGLE DRUM ROLLER,N/A,2
0.101587651093,2023 BOMAG WB211 D,2.5,1
0.101587651117,2023 BOMAG BW 211D-5,1,2
00-09788,BUCKET,N/A,1
00-18448,BUCKET,N/A,4
00-3420,TAKEUCHI SKID,735.5,1
00-6523,BRON 63 SCRAPER PAN,N/A,1
00-702,CAT D6 DOZER,2368.0,1
00-7849,30' PLATE,N/A,1
0021W6597,10' GRADE BAR HBRKT-305E,N/A,1
00305E5G585526,CAT MINI EXCAVATOR,965,1
01-548,CAT 725 WATER TRUCK,4729.0,1
01-7231.,JOHN DEERE 9570 TRACTOR,3131.0,1
010-6645,JOHN DEERE 9520,809.8,1
02-1526,JOHN DEERE 85 MINI BH,69.0,1
02-1833,JOHN DEERE HYDRAULIC EXCAVTOR,191.3,1
05526,CAT 305 W/ 1-BKT,999,1
05G505526,CAT 305 MINI,966,1
06-2422.,JOHN DEERE 9570 TRACTOR,1602.6,1
06-9105.,PUMP,N/A,1
08-1488,BOMAG ROLLER,389.2,1
08-1680,BOMAG ROLLER,530.3,1
08-18440,BUCKET,N/A,1
08-437,JOHN DEERE 644 LOADER,245.0,1
0DY905580,CATERPILLAR 299D3 XPS,358.4,1
0ERL00155,CAT 329 LONG REACH,1864,1
0GG812491,CAT 308 MINI,138,1
0GW703060,CATERPILLAR 307.5-07,452,2
0H5M10257,CATERPILLAR 305 MINI EXCAVATOR,100.46,1
0S5602012,CATERPILLAR CS56 SMOOTH DRUM ROLLER,256.4,2
0T52706,BUCKET,N/A,2
0XBE00823,CATERPILLAR 335-07HT,2884.1,1
1-Oct,CAT 824,3621,1
10-0167,KOMATSU D155 DOZER,4299.0,1
10-10734,1997 JOHN DEERE 9400,8734.8,9
10-11084,JOHN DEERE 9400 TRACTOR,463.0,2
10-11382,2005 JOHN DEERE 9520,7103.8,20
10-11617,MOBILE TRACK SOLUTION 3630T GEN 2,4276.0,1
10-11877,2018 MOBILE TRACK SOLUTION 3630T GEN 3,4026.95,7
10-11989,2003 JOHN DEERE 9420,6687,16
10-12123,2007 JOHN DEERE 9520 SCRAPER SPECIAL,318,17
10-12136,2019 JOHN DEERE 9570RX,2837.6,6
10-12137,2019 JOHN DEERE 9570RX,2741.0,15
10-12138,2019 JOHN DEERE 9570RX,2613.5,10
10-12139,2019 JOHN DEERE 9570RX,202.0,11
10-12142,2019 MOBILE TRACK SOLUTIONS 3630T GEN3,N/A,24
10-12143,2019 MOBILE TRACK SOLUTION 3630T GEN3,4727.1,14
10-12345,JOHN DEERE 9570 TRACTOR,3576.3,9
10-12346,2019 JOHN DEERE 9570RX,3008.0,10
10-12386,1998 CATERPILLAR 85E,7523,12
10-12421,MOBILE TRACK SOLUTIONS 3630,1916.55,3
10-12422,2019 MOBILE TRACK SOLUTIONS 3630T GEN 3,2078.0,3
10-12805,2020 JOHN DEERE 9570RX,2150.5,20
10-13123,MTS 3630 TRACTOR,795.6,12
10-13256,2021 JOHN DEERE 9570RX,2654.4,18
10-13328,2016 MOBILE TRACK SOLUTION 3630T,6068.0,9
10-13339,2015 MOBILE TRACK SOLUTIONS,4077,2
10-13354,JOHN DEERE 9570 TRACTOR,284.0,1
10-13401,2021 JOHN DEERE 9570RX,1307.0,9
10-13411,MT 3550 TRACTOR,4859.0,1
10-13635,MTS 3630 TRACTOR,10.0,2
10-13636,2022 MOBILE TRACK SOLUTION 3630T GEN 5,1485.6,4
10-13751,2019 MOBILE TRACK SOLUTION 3630T GEN 3,1355.65,2
10-13752,2019 MOBILE TRACK SOLUTIONS 3630T GEN3,2354.25,3
10-13753,2022 MOBILE TRACK SOLUTION 3630T GEN5,583.85,11
10-13754,2022 MOBILE TRACK SOLUTION 3630T GEN 5,1504.35,6
10-13864,1998 CATERPILLAR CH85E,5514.0,6
10-13893,2022 JOHN DEERE 9590RX,293.3,6
10-1394,2000 JOHN DEERE 9400,1024.3,11
10-14097,2021 CATERPILLAR 420 IT,250.5,1
10-14107,2022 JOHN DEERE 9590R,728.8,7
10-14158,2022 MOBILE TRACK SOLUTION 3630W,1881.85,1
10-14175,2022 JOHN DEERE 9570RX,33.2,11
10-14176,2022 JOHN DEERE 9590RX,2508,10
10-14193,2022 JOHN DEERE 9590R,33.2,3
10-14241,2020 VERSATILE DELTA TRACK 570,1807.30,4
10-14333,2006 JOHN DEERE 9420 SCRAPER SPECIAL,7855,7
10-14338,2022 JOHN DEERE 9R540,359.5,1
10-14386,2022 MOBILE TRACK SOLUTION 3630T GEN 5,1961.8,11
10-14408,2022 MOBILE TRACK SOLUTION 3630T,1728,7
10-14456,2011 JOHN DEERE 9630,6139,6
10-14468,2010 JOHN DEERE 9630T,3481.9,2
10-14570,2023 JOHN DEERE 9590RX,900,1
10-14572,2023 JOHN DEERE 9590RX,421.0,2
10-14573,2022 CASE 580 QUAD SCRAPPER,201,1
10-14574,2023 CASE 580 QUAD SCRAPER,1774.5,6
10-14575,CASE QUAD,10.6,2
10-14581,2021 MOBILE TRACK SOLUTIOM 3630T GEN 4,3586.75,10
10-14582,2021 MOBILE TRACK SOLUTIONS 3630T GEN 4,4171.9,8
10-14583,2021 MOBILE TRACK SOLUTION 3630T,3466.35,5
10-14585,2023 JOHN DEERE 9590RX,461.7,2
10-14605,2016 MOBILE TRACK SOLUTION 3630T,7313.0,3
10-14606,2016 MOBILE TRACK SOULTION 3630T GEN 2,7196.0,8
10-14717,1994 JOHN DEERE 7700,384.2,5
10-1475,JOHN DEERE 9570,514.1,1
10-14880,2023 MOBILE TRACK SOLUTION 3630T GEN 5,11.15,4
10-15822,CASE 595 TRACTOR,743,1
10-16229.,JOHN DEERE TRACTOR (SMALL),457.0,2
10-35964K,KUBOTA,606.0,1
10-468412,"6"" PUMP",3443.10,1
10-5095.,2001 JOHN DEERE 9400,7695.7,3
10-5095R,JOHN DEERE TRACTOR,7548,2
10-5098 .,2001 JOHN DEERE 9400,8438.0,1
10-5098.,JOHN DEERE 9400 TRACTOR,7713,3
10-5551.,2003 JOHN DEERE 9520,415.2,7
10-5552.,2003 JOHN DEERE 9520,8599.0,4
10-6188.,1994 CATERPILLAR 824C RUB TIRE,36745.8,5
10-6223.,2005 JOHN DEER 5325,313.0,1
