order_number,serial,source_column,issue,suggested_description
55813,87-15774,Serial #2,Missing description,
55813,87-12703,Serial #3,Missing description,
55813,87-13345,Serial #4,Missing description,
55823,87-15384/87-14772,Serial #4,Missing description,
55869,87-12819,Serial #2,Missing description,
55869,87-12653,Serial #3,Missing description,
55869,87-13744,Serial #4,Missing description,
55885,87-13117,Serial #3,Missing description,
55892,87 13402,Serial #2,Missing description,
55892,87 14517,Serial #3,Missing description,
55898,bucket 22ra2030,Serial #2,Missing description,
55898,bucket 252ra2738,Serial #3,Missing description,
55900,87 12714,Serial #2,Missing description,
55900,87 12713,Serial #3,Missing description,
